award_title,award_words,major_keywords,vision_contents,prestige,prestige_score,Big Major Category #1,Big Major Category #2,Big Major Category #3,Big Major Category #4
Capital City Young Writers ,,No Extra Match,NaN,Mediocre,2,Humanities,,,
Capstone Concept Pitch Competition ,,No Extra Match,NaN,Selective,3,Business,,,
Car Design Competitions,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Carlton University English Department High School Writing Competition,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Carnegie Council for Ethics in International Affairs Student/Teacher Essay Contest ,,No Extra Match,NaN,Very Selective,4,Social Science,,,
CASTIC,China Adolescents Science and Technology Innovation Contest,No Extra Match,NaN,Extremely Selective,5,Math/Science,Tech/Engineering,,
Cayley Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
"CFDA/Teen Vogue Scholarship, in partnership with Target",,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Chem e-Car Competition,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Chemathon,,No Extra Match,NaN,Selective,3,Math/Science,,,
Chinese Bridge Speech Competition,Confucius Institute,No Extra Match,NaN,Selective,3,Humanities,,,
Chinese Speech Competition and Character Bee,,No Extra Match,NaN,Selective,3,Humanities,,,
Christopher Columbus Awards ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Collegiate Inventors,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Columbia Scholastic Press Association (CSPA) Awards,,No Extra Match,NaN,Very Selective,4,Communication,Humanities,Visual Arts,
Columbia University Science Honors Program,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Communication on Pure and Applied Mathematics,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Computational Materials Science,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Congressional Art Competition,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Conrad Spirit of Innovation Challenge,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Constitutional Academy ,,No Extra Match,NaN,Mediocre,2,Social Science,,,
Cornell's High School Fashion Design Award,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Craftsman/NSTA Young Inventors Awards Program,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Creative Communication Contest,,No Extra Match,NaN,Selective,3,Humanities,,,
Creative Core Business Idea Competition,,No Extra Match,NaN,Selective,3,Business,,,
Critical Reviews in Biomedical Engineeering,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Crux Mathematicorum with Mathematical Mayhem ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
CT-COLT Poetry Recitation Contest,,No Extra Match,NaN,Selective,3,Humanities,,,
Current Opinion in Immunology,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
DALF (Diploma of Advanced French Language Studies),,No Extra Match,NaN,Selective,3,Humanities,,,
Dartmouth International Science Essay Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
DECA (Distributive Education Clubs of America) International Career Development Conference,,No Extra Match,NaN,Very Selective,4,Business,,,
DEF CON Contests,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
DELF (Diploma in French Studies),,No Extra Match,NaN,Selective,3,Humanities,,,
Destination ImagiNation,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Discover Design National High School Architecture Competition,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Discovery Channel Young Scientist Challenge,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Donghwa East Meets West International Essay Competition,,No Extra Match,NaN,Very Selective,4,Social Science,,,
Dream Deferred Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
DreamQuest One Poetry and Writing Contest,,No Extra Match,NaN,Selective,3,Humanities,,,
Drexel University High School Photography Contest,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Dropping In a Microgravity Environment(DIME),,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Dropping In a Physical phenomenon,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
DSSV (Deutscher Sprach und Schulverein),,No Extra Match,NaN,Selective,3,Humanities,,,
Duke Mathematical Journal,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
DuPont Challenge Science Essay Contest,,No Extra Match,NaN,Extremely Selective,5,Math/Science,Engineering,,
Dyson&IDSA Eye for Why - Student Design Competition,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Ecology Letters,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
eCYBERMISSION,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
ECybermission Program,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
EDN,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
EE Times,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
E-idea competition 2011 ,,No Extra Match,NaN,Very Selective,4,Business,,,
Electronic Design,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Energy & Environment,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Engineering Design Challenge,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Engineering Encounters Bridge Design Contest (formerly West Point Bridge Design Contest),,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Environmental literacy council,,No Extra Match,NaN,Selective,3,Math/Science,,,
EPIC New Voices Young Writer's Competition,,No Extra Match,NaN,Selective,3,Humanities,,,
ESI & ESA,Expo-Sciences,No Extra Match,NaN,Extremely Selective,5,Math/Science,Tech/Engineering,,
ES-Luxembourg,Expo-Sciences Luxembourg,No Extra Match,NaN,Extremely Selective,5,Math/Science,Tech/Engineering,,
Euclid Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
EUCYS,EU Contest for Young Scientists,No Extra Match,NaN,Extremely Selective,5,Math/Science,Tech/Engineering,,
Eurasian Schools Debate Championship,,No Extra Match,NaN,Very Selective,4,Social Science,,,
European Journal of Immunology,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
European Nuclear Society Young Generation,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
EurOpen International Debate Tournament,,No Extra Match,NaN,Very Selective,4,Social Science,,,
Exeter Short Story Competition (UK),,No Extra Match,NaN,Very Selective,4,Humanities,,,
Explora Vision by Toshiba ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Eye on Science: A Student Journal in science and technology ,,No Extra Match,NaN,Selective,3,Math/Science,,,
FALCONIUM      ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
FAU Business Plan Competition,,No Extra Match,NaN,Selective,3,Business,,,
Fed Challenge,,No Extra Match,NaN,Very Selective,4,Social Science,,,
FedEx Express/Junior Achievement International Trade Challenge (ITC),,No Extra Match,NaN,Very Selective,4,Business,,,
Feminist Studies(Journal),,No Extra Match,NaN,Very Selective,4,Humanities,,,
Fermat Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
FIRE's Freedom in Academia Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
FIRST Lego League,FLL,No Extra Match,NaN,Selective,3,Tech/Engineering,,,
FIRST LEGO League,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
FIRST LEGO League,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
FIRST Step to Nobel Prize in Physics,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Fluid Phase Equilibria,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
FRA Americanism Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Fraser Institute Essay Contest,,No Extra Match,NaN,Very Selective,4,Social Science,,,
"Freedom from Religion Foundation Student Scholarship Essay Contests
",FFRF,No Extra Match,NaN,Very Selective,4,Humanities,,,
French for the Future National Essay Contest,,No Extra Match,NaN,Selective,3,Humanities,,,
French Language Fair Contests at Brigham Young University,,No Extra Match,NaN,Selective,3,Humanities,,,
Fryer Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Future Business Leaders of America (FBLA),,No Extra Match,NaN,Selective,3,Social Science,,,
Future Business Leaders of America Conference,,No Extra Match,NaN,Very Selective,4,Business,,,
Future City Competition ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Future Problem Solving Program,,No Extra Match,NaN,Very Selective,4,Social Science,,,
Galois Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Game Art Contest,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Genetica,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Genetical Biology,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Genius Olympiad (International High School Environment Project Olympiad),,No Extra Match,NaN,Very Selective,4,Math/Science,,,
German High School Day at UIC,,No Extra Match,NaN,Selective,3,Humanities,,,
German National Foreign Language Competition,,No Extra Match,NaN,Selective,3,Humanities,,,
Giffords Foundation Funds Four Arts and Writing Prize,,No Extra Match,NaN,Selective,3,Humanities,,,
Global Enterprise Challenge,,No Extra Match,NaN,Very Selective,4,Business,,,
Global Social Entrepreneurship Competition (GSEC),,No Extra Match,NaN,Very Selective,4,Business,,,
Global Student Entrepreneur Award for high school students,,No Extra Match,NaN,Very Selective,4,Business,,,
Global Summit on Sustainable Development & Biodiversity,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Global Venture Labs Investment Competition (VLIC),,No Extra Match,NaN,Very Selective,4,Business,,,
Global Virtual Classroom Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Gloria Barron Prize Young Heroes,,No Extra Match,NaN,Very Selective,4,Social Science,,,
Google Online Marketing Challenge,,No Extra Match,NaN,Very Selective,4,Business,,,
Governor’s School for Mathematics,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Grand View University Art & Design Online  High School Art Competition,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Greater Toronto Area High School Psychology Conference and Psychathlon,,No Extra Match,NaN,Very Selective,4,Social Science,,,
Green Cup Energy Challenge,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Growing Up Asian in America Art & Essay Contest ,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Gulen Institute Youth Platform Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Harvard Book Prize & Harvard Book Award,,No Extra Match,NaN,Selective,3,Humanities,,,
Harvard Model Congress - Asia,,No Extra Match,NaN,Selective,3,Social Science,,,
"Harvard Model Congress- Boston, San Francisco",,No Extra Match,NaN,Selective,3,Social Science,,,
Harvard Speech and Debate Tournament,,No Extra Match,NaN,Very Selective,4,Social Science,,,
Harvard-MIT Math Tournament,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Healing the Children,,No Extra Match,NaN,Selective,3,Math/Science,,,
Health Informatics Journal ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Health Occupations Students of America,,No Extra Match,NaN,Selective,3,Math/Science,,,
Health Occupations Students of America,,No Extra Match,NaN,Selective,3,Math/Science,,,
Heart of Europe Debating Tournament,,No Extra Match,NaN,Very Selective,4,Social Science,,,
Helvetica Chimica Acta,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Heredity,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
High School Concerto Competition by the US Navy Band,,No Extra Match,NaN,Selective,3,Music,,,
High School Mathematical Contest in Modeling (HiMCM),,No Extra Match,NaN,Very Selective,4,Math/Science,,,
High School Science Journal       ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
High-Phi Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Holocaust Remembrance Project Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Hong Kong Poly U Global Students Challenge,,No Extra Match,NaN,Very Selective,4,Business,,,
Hospitality Scholarship Sponsored by Wisconsin Dells Educational Foundation,,No Extra Match,NaN,Selective,3,Visual Art,,,
Hotchkiss High School Film Festival,,No Extra Match,NaN,Selective,3,Visual Arts,Communication,,
Hypatia Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
IASAS (Interscholastic Association of Southeast Asian Schools),,No Extra Match,NaN,Mediocre,2,Social Science,,,
IDEA Karl Popper International Debate Championships,,No Extra Match,NaN,Very Selective,4,Social Science,,,
IEEE CIS & RAM Conference ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
IEEE Spectrum,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
IEEE Wireless Communication,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
I-FEST2,International Festival of Engineering and Technology in Tunisia,No Extra Match,NaN,Extremely Selective,5,Math/Science,Tech/Engineering,,
iGem for High School,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
IISPC(Independent School's Public Speaking Championships),,No Extra Match,NaN,Very Selective,4,Social Science,,,
ILO: International Lingusitics Olympid,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Imagine Cup,,No Extra Match,NaN,Very Selective,4,Business,,,
Indiana U High School Composition Competition,,No Extra Match,NaN,Selective,3,Music,,,
Industrial Engineering Chemistry Research,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Innotribe Startup Challenge ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Institute for the Culinary Arts High School Culinary Invitational,,No Extra Match,NaN,Very Selective,4,Visual Art,,,
Intel Global Challenge at UC Berkeley,,No Extra Match,NaN,Very Selective,4,Business,,,
Intel International Science and Engineering Fair (ISEF),,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Intel Science Talent Search,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Interdisciplinary Contest in Modeling ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Astronomy Olympiad,,No Extra Match,NaN,Extremely Selective,5,Math/Science,,,
International BioGENEius Challenge (hosted by Biotechnology Institute),,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
International Biology Olympiad,IBO,No Extra Match,NaN,Extremely Selective,5,Math/Science,,,
International Biology Olympiad,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Brain Bee,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Bridge Building Contest,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
International Chemistry Olympiad,IChO,No Extra Match,NaN,Extremely Selective,5,Math/Science,,,
International Chemistry Olympiad,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Cyber Fair,,No Extra Match,NaN,Very Selective,4,Visual Arts,Communication,,
International Earth Science Olympiad,IESO,No Extra Match,NaN,Extremely Selective,5,Math/Science,,,
International English Writing Contest,,No Extra Match,NaN,Selective,3,Humanities,,,
International Environment Sustainability Project Olympiad,INESPO,No Extra Match,NaN,Extremely Selective,5,Social Science,,,
International Journal for Numerical Methods in Fluids,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
International Journal of Computational Biology and Drug Design,,No Extra Match,NaN,Very Selective,4,#N/A,,,
International Journal of Fracture,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
International Journal of Obesity,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Journal of Plant Sciences,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Junior Science Olympiad,JISO,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Mathematical Olympiad,IMO,No Extra Match,NaN,Extremely Selective,5,Math/Science,,,
International Olympiad in Informatics,IOI,No Extra Match,NaN,Extremely Selective,5,Tech/Engineering,,,
International Olympiad in Informatics. ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
International Olympiad on Astronomy and Astrophysics,IOAA,No Extra Match,NaN,Extremely Selective,5,Math/Science,,,
International Organization on Shape Memory and Superlastic Technologies,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Philisophy Olympiad,,No Extra Match,NaN,Very Selective,4,Humanities,,,
International Physics Olympiad,IPhO,No Extra Match,NaN,Extremely Selective,5,Math/Science,,,
International Physics Olympiad,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
International Pro Am USA Student Film Competition,,No Extra Match,NaN,Selective,3,Visual Arts,Communication,,
International Student Media Festival,,No Extra Match,NaN,Selective,3,Visual Arts,,,
International Student Media Festival,,No Extra Match,NaN,Selective,3,Visual Arts,,,
International Wilderness Experience (Cathay Pacific),,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
International Young Mathematicians' Convention ,,No Extra Match,NaN,Selective,3,Math/Science,,,
International Young Physicists' Tournament,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Internet Problem Solving Contest,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Internet Science and Technology Fair,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Internet Science and Technology Fair,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Invent Now America,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Invest Write Essay Competition,,No Extra Match,NaN,Selective,3,Social Science,,,
ISB-IVEY Global Case Competition ,,No Extra Match,NaN,Very Selective,4,Business,,,
ISEC 2008 (The International Science & Engineering Camp),,No Extra Match,NaN,Very Selective,4,Math/Science,,,
"ISMTF (International Schools Mathematics Teachers Foundation) Competition à Middle School, Under 16, Over 16",,No Extra Match,NaN,Very Selective,4,Math/Science,,,
I-SWEEP,International Sustainable World Engineering Energy Environment Project Olympiad,No Extra Match,NaN,Extremely Selective,5,Math/Science,Tech/Engineering,,
IYSIF,"International Youth Science & Innovation Fair, Indonesia Science Expo, ISE",No Extra Match,NaN,Extremely Selective,5,Math/Science,Tech/Engineering,,
Jane Austen Society of North America Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
JANY Business Plan Competition,,No Extra Match,NaN,Selective,3,Business,,,
Japanese Language Proficiency Test (JLPT),,No Extra Match,NaN,Selective,3,Humanities,,,
"Jessamy Stursberg Poetry Contest for Canadian Youth. 

",,No Extra Match,NaN,Selective,3,Humanities,,,
JETS (Junior Engineering Technical Society) TEAMS Competition,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
JFK  Profile in Courage Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
JMH International Psychology Essay Contest,,No Extra Match,NaN,Very Selective,4,Social Science,,,
Joseph S. Rumbaugh Historical Oration Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Journal of Algebra,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Animal Science,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Artificial Intelligence Research,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Journal of Biological Chemistry,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Climate,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Experimental Medicine,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Fluid Mechanics,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Journal of Food Science,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Functional Programming,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Journal of Hydrologic Engineering,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Journal of Machine Learning Research,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Molecular Biology,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Neurochemistry,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Neurophysiology,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Nutrition,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Physical Oceanography,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Soil and Water Conversation,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of the ACM,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of the American Chemical Society,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of the Royal Statistical Society,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Journal of Theoretical Biology,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Junior Peak Time,,No Extra Match,NaN,Very Selective,4,Business,,,
"Junior Science & Humanities, History, Languages Symposia (JSHS) Program ",,No Extra Match,NaN,Very Selective,4,Math/Science,,,
"Junior Science and Humanities, History, Languages Symposium",,No Extra Match,NaN,Very Selective,4,Social Science,,,
Just Add German Photo Contest,,No Extra Match,NaN,Selective,3,Humanities,,,
KACR (Korea Advanced Institute for Creation Research) ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Kansas Fort Hays State University Math Relay,,No Extra Match,NaN,Selective,3,Math/Science,,,
Keep the Drive Journalism Awards,,No Extra Match,NaN,Very Selective,4,Social Science,Communication,,
Kent State University Fashion School Scholarship,,No Extra Match,NaN,Selective,3,Visual Arts,,,
Kids Philosophy Slam,,No Extra Match,NaN,Selective,3,Humanities,,,
kids vs global warming,,No Extra Match,NaN,Selective,3,Math/Science,,,
Knights of Columbus Essay Contest,,No Extra Match,NaN,Selective,3,Social Science,,,
KöMaL Journal (in Hungary) ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
KöMaL Journal (in Hungary)   ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Krypto Contest,,No Extra Match,NaN,Mediocre,2,Math/Science,,,
KSE International Student Olympiad in Applied Economics,,No Extra Match,NaN,Very Selective,4,Business,,,
KSEF,Korea Science and Engineering Fair,No Extra Match,NaN,Very Selective,4,Math/Science,Tech/Engineering,,
LAMDA Exams in Spoken English and Public Speech,,No Extra Match,NaN,Mediocre,2,Humanities,,,
LAMDA Exams in Spoken English and Public Speech,,No Extra Match,NaN,Mediocre,2,Humanities,,,
Laws of Life Essay Contest,,No Extra Match,NaN,Selective,3,Humanities,,,
Lead America - Business & Entrepreneurship Conference,,No Extra Match,NaN,Mediocre,2,Business,,,
Lead America - Business & Leadership Conference at Babson College,,No Extra Match,NaN,Mediocre,2,Business,,,
Lead America - Innovation in Business,,No Extra Match,NaN,Mediocre,2,Business,,,
Lead America National Student Conferences,,No Extra Match,NaN,Mediocre,2,Social Science,,,
Leaders of Tomorrow (LOT) Global Leadership Camp,,No Extra Match,NaN,Selective,3,Social Science,,,
Leaders of Tomorrow (LOT) National Business Case Competition,,No Extra Match,NaN,Very Selective,4,Business,,,
Leaders of Tomorrow (LOT) National Conference,,No Extra Match,NaN,Selective,3,Social Science,,,
Leadership Summit: Business & Entrepreneurship,,No Extra Match,NaN,Mediocre,2,Business,,,
Leadership Summit: Technology ,,No Extra Match,NaN,Selective,3,Tech/Engineering,,,
LEAP! National Dance Competition  - Advanced Level,,No Extra Match,NaN,Selective,3,Performing Arts,,,
Lemelson-M.I.T. InvenTeams,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Leukemia & Lymphoma Society,,No Extra Match,NaN,Selective,3,Math/Science,,,
Lexus Environmental Challenge,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Light Metal Age,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
MADE In Missouri State Entrepreneurship Competition ,,No Extra Match,NaN,Selective,3,Business,,,
Mandelbrot Competition,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
March of Dimes,,No Extra Match,NaN,Selective,3,Math/Science,,,
Marine Advanced Technology Education (MATE) International ROV Competition,,No Extra Match,NaN,Selective,3,Math/Science,,,
Math Kangaroo Contest,,No Extra Match,NaN,Selective,3,Math/Science,,,
MATHCOUNTS ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Matheletics (by County),,No Extra Match,NaN,Selective,3,Math/Science,,,
Mathematica Centrum,,No Extra Match,NaN,Selective,3,Math/Science,,,
Mathematical Olympiad Summer Program,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Mathematics League High School Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Mayo Clinic Proceedings,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
MENA 100 Business Plan Competition,,No Extra Match,NaN,Very Selective,4,Business,,,
Michigan Math Prize Competition (MMPC),,No Extra Match,NaN,Very Selective,4,Math/Science,,,
MIT $100K Entrepreneurship Competition,,No Extra Match,NaN,Very Selective,4,Business,,,
MIT GSW (Global Startup Workshop) Business Plan Competition ,,No Extra Match,NaN,Very Selective,4,Business,,,
MIT IDEAS Global Challenge,,No Extra Match,NaN,Very Selective,4,Business,,,
MIT Think Scholars Program,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Model United Nations,,No Extra Match,NaN,Mediocre,2,Social Science,,,
MoleClues,,No Extra Match,NaN,Selective,3,Math/Science,,,
Moody's Mega Math Challenge,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
MSOE Entrepreneur and Business Strategy Competition,,No Extra Match,NaN,Selective,3,Business,,,
Music Teachers National Association Competition,,No Extra Match,NaN,Very Selective,4,Music,,,
My Feenix ,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
My Park Photos Annual Scholarship Competition,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
NAIS(National Association of Independent School) Challenge 20/20 ,,No Extra Match,NaN,Mediocre,2,Social Science,,,
NASA Dropping in a Microgravity Experiment,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
NASA Engineering Design Challenge,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
NASA Great Moonbuggy Race,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
NASA Space Settlement Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
NASA WING Competition ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
NASA-SHARP Program,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Nation Student Writing Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
National Brain Bee,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
"National French Contest, Le Grand Concourse",,No Extra Match,NaN,Selective,3,Humanities,,,
National Geographic Bee,,No Extra Match,NaN,Very Selective,4,Social Science,,,
National German Exam,,No Extra Match,NaN,Selective,3,Humanities,,,
National Greek Exam,,No Extra Match,NaN,Selective,3,Humanities,,,
National High School Ethics Bowl,,No Extra Match,NaN,Selective,3,Humanities,,,
National High School Mock Trial Championship ,,No Extra Match,NaN,Very Selective,4,Social Science,,,
National High School Musical Theater Awards ,,No Extra Match,NaN,Very Selective,4,Performing Arts,,,
National History Bowl,,No Extra Match,NaN,Very Selective,4,Social Science,,,
National History Day Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
National Individual Events Tournament of Champions ,,No Extra Match,NaN,Very Selective,4,Social Science,,,
National Japan Bowl,,No Extra Match,NaN,Selective,3,Humanities,,,
National Junior Classical League Contests,,No Extra Match,NaN,Selective,3,Humanities,,,
National Junior Solar Sprint,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
National Latin Exam,,No Extra Match,NaN,Selective,3,Humanities,,,
National Ocean Sciences Bowl,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
National ProStart Invitational,,No Extra Match,NaN,Very Selective,4,Visual Art,,,
National Scholastic Press Association Competitions,NSPA,No Extra Match,NaN,Very Selective,4,Humanities,Communication,,
National Science Bowl,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
National Science Decathon,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
National Spanish Exam,,No Extra Match,NaN,Selective,3,Humanities,,,
National Student Leadership Conference ,,No Extra Match,NaN,Selective,3,Social Science,,,
National Student Leadership Conference on Engineering ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
National Student Leadership Conference on Forensic Science ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
National Student Leadership Conference on Sports Management,,No Extra Match,NaN,Selective,3,Business,,,
National Weather Digest ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
National WWII Museum Annual Essay Contest,,No Extra Match,NaN,Very Selective,4,Social Science,,,
National Young Physics Ambassador (10 students selected Nationally),,No Extra Match,NaN,Very Selective,4,Math/Science,,,
